cost_id,airfare,other_transport,lodging,meals,other_expenses,total,ref_id
2266,646.17,117.26,157.78,197.25,146.54,1265,266
2267,1104.27,189.72,841.31,461.84,834.23,3431.37,267
2268,2511.31,132.48,785.65,591,588.64,4609.08,268
2269,489.37,606.86,458.42,102.22,923.82,2580.69,269
2270,880.99,192.76,630.99,332.45,772.66,2809.85,270
2271,935.23,117.3,630.99,353.05,535.19,2571.76,271
2272,949.11,117.3,630.99,373.4,181.85,2252.65,272
2273,662.91,128.43,630.99,332.45,695.85,2450.63,273
2274,935.23,118.3,630.99,353.05,450.25,2487.82,274
2275,1313.32,342.77,970.75,591,906.81,4124.65,275
